Sublime-Style-Column-Selection@1.2.3,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",11136,6618
language-scala@1.1.0,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",6592,4026
linter-js-yaml@1.0.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",69,69
linter-rubocop@0.2.2,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",69,60
linter-rubocop@0.2.2,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",69,60
linter-tidy@1.0.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",86,77
linter-tidy@1.0.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",86,77
linter@0.9.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `linter` package",69,60
linter@0.9.1,"Use ::unset instead.",69,60
mavensmate-atom@unknown,"Use TextBuffer::onDidSave instead. A TextBuffer instance is no longer provided as a callback argument.",181,120
npm-autocomplete@0.1.2,"Use ::getPaths instead",60,60
open-in-atom@0.1.8,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",60,60
outdoor-theme@0.4.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",60,60
pulsing-cursor@0.3.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `pulsing-cursor` package",112,103
rdio@unknown,"Use PackageManager::onDidActivateInitialPackages instead",60,60
registers@1.1.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",69,60
remember-session@0.5.1,"Use ::setPaths instead",60,60
rspec@0.1.9,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `rspec` package",60,60
rspec@0.1.9,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",60,60
rspec@0.1.9,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",60,60
ruby-string-interpolation@0.1.8,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `ruby-string-interpolation` package",95,60
ruby-string-interpolation@0.1.8,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",95,60
ruby-string-interpolation@0.1.8,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",95,60
seti-ui-red@0.13.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `seti-ui-red` package",95,60
smarter-delete-line@1.0.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",86,60
soda-light-ui@0.2.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `soda-light-ui` package",77,77
space-block-jumper@0.4.3,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",69,60
space-block-jumper@0.4.3,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",69,60
starred-package-installer@0.1.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `starred-package-installer` package",147,60
starred-package-installer@0.1.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",147,60
starred-package-installer@0.1.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",147,60
webbox-color@0.5.6,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `webbox-color` package",69,69
acf-snippets@0.6.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `acf-snippets` package",69,52
acf-snippets@0.6.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",78,52
ask-stack@0.1.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `ask-stack` package",69,52
ask-stack@0.1.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",69,52
asteroids@0.2.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `asteroids` package",95,52
asteroids@0.2.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",95,52
atom-beautify@0.21.2,"Use Workspace::getTextEditors instead",60,52
atom-beautify@0.21.2,"Use Workspace::onDidAddTextEditor or Workspace::observeTextEditors instead.",60,52
atom-beautify@0.23.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",52,52
atom-bourbon-snippets@0.14.2,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",60,52
atom-compile-coffee@1.4.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",52,52
atom-evernote@0.0.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `atom-evernote` package",52,52
atom-evernote@0.0.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",52,52
atom-runner@2.1.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",69,52
atom-runner@2.1.1,"Requiring `ScrollView` from `atom` is no longer supported. Please require `ScrollView` from `atom-space-pen-view` instead: `{ScrollView} = require 'atom-space-pen-views'` Note that the API has changed slightly! Please read the docs at https://github.com/atom/atom-space-pen-views Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",69,52
atom-runner@2.1.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `atom-runner` package",69,52
atomatigit@1.3.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",86,69
atomic-emacs@0.5.1,"This method is deprecated on the model layer. Use `TextEditorElement::pixelPositionForBufferPosition` instead",69,69
atomic-rest@0.2.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `atomic-rest` package",69,52
atomic-rest@0.2.1,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",69,52
AtomicSkittles@0.7.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `AtomicSkittles` package",121,52
autoclose-html@0.12.0,"TextBuffer::on is deprecated. Use event subscription methods instead.",52,52
autocomplete-emojis@2.2.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",69,52
autocomplete-plus@0.21.0,"TextEditor::on is deprecated. Use documented event subscription methods instead.",52,52
autocomplete-plus@0.21.0,"Use TextBuffer::onDidChange instead",52,52
autocomplete-plus@0.21.0,"Use TextBuffer::onDidSave instead. A TextBuffer instance is no longer provided as a callback argument.",52,52
autocomplete-plus@0.21.0,"Use TextEditor::onDidChangeCursorPosition instead",52,52
autocomplete-plus@0.21.0,"Use TextEditor::onDidDestroy instead",52,52
autocomplete-plus@0.21.0,"Use Workspace::onDidAddTextEditor instead",52,52
change-case@0.5.1,"Call ::getActiveTextEditor instead",52,52
collaborative-edit@0.2.6,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `collaborative-edit` package",86,52
collaborative-edit@0.2.6,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",86,52
collaborative-edit@0.2.6,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",86,52
command-toolbar@1.0.8,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",69,52
compare-files@0.4.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",60,52
compare-files@0.4.1,"The atom.workspaceView.statusBar global is deprecated. The global was previously being assigned by the status-bar package, but Atom packages should never assign globals. In the future, this problem will be solved by an inter-package communication API available on `atom.services`. For now, you can get a reference to the `status-bar` element via `document.querySelector('status-bar')`.",60,52
compare-files@0.4.1,"Use ::addLeftTile({item, priority}) instead.",60,52
django-importer@0.0.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `django-importer` package",78,52
elixir-cmd@0.2.5,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",78,52
elixir-cmd@0.2.5,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",78,52
elixir-cmd@0.2.5,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `elixir-cmd` package",78,52
elixir-cmd@0.2.5,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",78,52
elixir-cmd@0.2.5,"Use ::getPaths instead",78,52
emmet@2.3.4,"Use TextEditor::getLastSelection() instead",52,52
erb-helper@0.1.1,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",86,52
erb-helper@0.1.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",86,52
evernote@0.0.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `evernote` package",52,52
evernote@0.0.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",52,52
fancy-new-file@0.7.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",52,52
fancy-new-file@0.7.0,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",52,52
fancy-new-file@0.7.0,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",52,52
fancy-new-file@0.7.0,"Requiring `EditorView` from `atom` is no longer supported. Please require `TextEditorView` from `atom-space-pen-view` instead: `{TextEditorView} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",52,52
fancy-new-file@0.7.0,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",52,52
fancy-new-file@0.7.0,"Use ::getPaths instead",52,52
fancy-new-file@0.7.0,"Use TextBuffer::onDidChange instead",52,52
fancy-new-file@0.7.0,"Use TextEditor::setPlaceholderText instead. eg. editorView.getModel().setPlaceholderText(text)",52,52
flake8@0.6.0,"Call ::getActiveTextEditor instead",52,52
git-diff-popup@0.1.3,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `git-diff-popup` package",86,69
git-diff-popup@0.1.3,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",86,69
git-history@2.0.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",60,52
git-plus@4.4.11,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",60,52
git-plus@4.4.11,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",60,52
gruvbox@0.3.2,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `gruvbox` package",60,52
html2jade@0.7.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",52,52
html2jade@0.7.0,"Use ::getActivePaneItem() instead of the ::activePaneItem property",52,52
html2jade@0.7.0,"Use TextEditor::getLastSelection() instead",52,52
indent-toggle-on-paste@0.1.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",121,52
ionic-atom@0.3.1,"If you would like your pane item with class `WebBrowserPreviewView` to support modified behavior, please implement a `::onDidChangeModified()` method. If not, ignore this message. `::on` methods for items are no longer supported.",69,52
ionic-atom@0.3.1,"If you would like your pane item with class `WebBrowserPreviewView` to support title change behavior, please implement a `::onDidChangeTitle()` method. `::on` methods for items are no longer supported. If not, ignore this message.",69,52
language-coffee-script@0.38.1,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",130,52
last-tab@0.1.2,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",69,52
line-count@0.3.2,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",112,52
line-count@0.3.2,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",112,52
line-count@0.3.3,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",95,52
line-count@0.3.3,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",95,52
linter-jshint@0.1.2,"Config::unobserve no longer does anything. Call `.dispose()` on the object returned by Config::observe instead.",61,61
linter-tidy@0.0.1,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",86,52
linter-tidy@0.0.1,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",86,52
local-server@0.1.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `local-server` package",69,52
local-server@0.1.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",69,52
local-settings@0.3.0,"Use ::getPaths instead",69,52
minimap-color-highlight@4.1.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `minimap-color-highlight` package",78,61
monokai@0.9.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `monokai` package",95,69
node-debugger@0.3.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",52,52
open-in-browser@0.4.4,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",78,52
open-in-browser@0.4.4,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",78,52
panic-palette@0.1.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `panic-palette` package",60,52
paredit@1.0.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",121,52
paredit@1.0.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",121,52
poxy-monokai@0.1.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `poxy-monokai` package",60,52
project-manager@1.14.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `project-manager` package",52,52
proton@3.0.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `proton` package",130,52
Remote-FTP@0.3.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `Remote-FTP` package",95,52
Remote-FTP@0.3.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",95,52
Remote-FTP@0.3.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",95,52
Remote-FTP@0.3.0,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",95,52
remote-sync@2.4.1,"Are you trying to listen for the 'core:confirm' Atom command with `jQuery::on`? `jQuery::trigger` can no longer be used to listen for Atom commands. Please use `atom.commands.add` instead. See the docs at https://atom.io/docs/api/latest/CommandRegistry#instance-add for details.",87,69
remote-sync@3.1.1,"Are you trying to listen for the 'core:confirm' Atom command with `jQuery::on`? `jQuery::trigger` can no longer be used to listen for Atom commands. Please use `atom.commands.add` instead. See the docs at https://atom.io/docs/api/latest/CommandRegistry#instance-add for details.",60,52
run-command2@1.8.0-0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",52,52
runcoderun@0.5.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",52,52
runcoderun@0.5.1,"Call Workspace::addOpener instead",52,52
runcoderun@0.5.1,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",52,52
runcoderun@0.5.1,"Requiring `$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",52,52
runcoderun@0.5.1,"Requiring `ScrollView` from `atom` is no longer supported. Please require `ScrollView` from `atom-space-pen-view` instead: `{ScrollView} = require 'atom-space-pen-views'` Note that the API has changed slightly! Please read the docs at https://github.com/atom/atom-space-pen-views Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",52,52
runcoderun@0.5.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `runcoderun` package",52,52
selection-count@1.6.3,"Use PackageManager::onDidActivateInitialPackages instead",60,52
selection-count@1.6.3,"Use Workspace::onDidAddTextEditor instead",60,52
seti-ui@0.6.1,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `seti-ui` package",78,52
sftp-deployment@unknown,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",61,61
slack-atom@0.2.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `slack-atom` package",104,52
slack-atom@0.2.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",104,52
slack-atom@0.2.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",104,52
Stylus@0.6.0,"Store package settings files in the `settings/` directory instead of `scoped-properties/`",52,52
sublime-tabs@0.5.3,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",86,52
sublime-tabs@0.5.3,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",86,52
sublime-tabs@0.5.3,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",86,52
sublime-tabs@0.5.3,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `sublime-tabs` package",86,52
sublime-tabs@0.5.3,"TextEditor::on is deprecated. Use documented event subscription methods instead.",86,52
sublime-tabs@0.5.3,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",86,52
sublime-tabs@0.5.3,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",86,52
sublime-tabs@0.5.3,"Use Pane::onDidAddItem instead",86,52
sublime-tabs@0.5.3,"Use Pane::onDidChangeActiveItem instead",86,52
sublime-tabs@0.5.3,"Use Pane::onDidDestroy instead",86,52
sublime-tabs@0.5.3,"Use Pane::onDidMoveItem instead",86,52
sublime-tabs@0.5.3,"Use Pane::onDidRemoveItem instead",86,52
sublime-tabs@0.5.3,"Use TextEditor::onDidChangeModified instead",86,52
sublime-tabs@0.5.3,"Use TextEditor::onDidChangeTitle instead",86,52
textstats@0.1.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `textstats` package",69,52
textstats@0.1.0,"The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.",69,52
textstats@0.1.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",69,52
trailing-spaces@0.2.4,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `trailing-spaces` package",60,52
tree-view-breadcrumb@0.3.0,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `tree-view-breadcrumb` package",95,52
tree-view-open-files@0.2.2,"Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `tree-view-open-files` package",95,52
tree-view@0.172.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.",69,61
tree-view@0.172.0,"Config::observe no longer takes a `callNow` option. Use ::onDidChange instead. Note that ::onDidChange passes its callback different arguments. See https://atom.io/docs/api/latest/Config",69,61
tree-view@0.172.0,"Please use Workspace::addBottomPanel() instead",52,52
tree-view@0.172.0,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies. Or add `"jquery": "^2"` to your package dependencies.",69,61
tree-view@0.172.0,"Requiring `ScrollView` from `atom` is no longer supported. Please require `ScrollView` from `atom-space-pen-view` instead: `{ScrollView} = require 'atom-space-pen-views'` Note that the API has changed slightly! Please read the docs at https://github.com/atom/atom-space-pen-views Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",69,61
tree-view@0.172.0,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `"atom-space-pen-views": "^2.0.3"` to your package dependencies.",69,61
tree-view@0.172.0,"Use ::getDirectories instead",69,61
tree-view@0.172.0,"Use ::getPaths instead",69,61
tree-view@0.172.0,"Use ::getRepositories instead",52,52
tree-view@0.172.0,"Use Directory::onDidChange instead",52,52
tree-view@0.172.0,"Use GitRepository::onDidChangeStatus instead",52,52
tree-view@0.172.0,"Use GitRepository::onDidChangeStatuses instead",52,52
tree-view@0.172.0,"Use Project::onDidChangePaths instead",69,61
tree-view@0.172.0,"Use Workspace::onDidChangeActivePaneItem instead",69,61
unity-ui@2.0.5,"Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details",60,52
vertical-align@0.8.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json "activationCommands": { "atom-workspace": ["foo:bar", "foo:baz"], "atom-text-editor": ["foo:quux"] } ```",138,52
